state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrug_village_id,shrug_shrid2,shrug_village_name,shrug_district,shrug_subdistrict,shrug_lgd_gp_code,shrug_gp_name,name_match_shrug_id,name_match_shrug_name,name_match_type,name_match_score,final_shrug_id,final_shrug_name,match_method
Karnataka,Hassan,Arkalgud,0,0,150780,Bettasoge Hantha (b),616775,Bettasoge Hantha,Hassan,Hassan.xls,279,,,,,,,,,,,,,,unmatched
Karnataka,Hassan,Hassan,62307,Tejur,152772,Chikkakondagola,616046,Chikkakondagola(Part),Hassan,Hassan.xls,457,,,,,,,,,,,,,,unmatched
Karnataka,Hassan,Hassan,62276,Kattaya,152474,Kattaya Kaval,616130,Kattaya Kaval,Hassan,Hassan.xls,1256,,,,,,,,,,,,,,unmatched
Karnataka,Hassan,Hassan,62282,Seege,152526,Ramadadevara Kaval,615905,Ramadevarahalla Kaval,Hassan,Hassan.xls,1878,,,,,,,,,,,,,,unmatched
Karnataka,Haveri,RATTIHALLI,64536,KADUR,645720,HADE,924845,HADE,Haveri,Haveri.xls,210,,,,,,,,,,,,,,unmatched
Karnataka,Kalaburagi,Shabad,61876,Bhankor,637324,bhankur,620714,Bhankur (OG),Kalaburagi,Kalaburagi.xls,102,,,,,,,,,,,,,,unmatched
Karnataka,Kalaburagi,Jevargi,61944,Harnoor,149809,Hanchinal,620860,Hanchinal Bhari,Kalaburagi,Kalaburagi.xls,265,,,,,,,,,,,,,,unmatched
Karnataka,Kalaburagi,Kalaburagi,61934,Nandikoor,589686,Kotnoor (d),620322,Kotnoor Darwesh (OG),Kalaburagi,Kalaburagi.xls,479,,,,,,,,,,,,,,unmatched
Karnataka,Kalaburagi,Chincholi,61849,Venktapur,662333,Seribhiknalli,620370,SERIBIKANALLI,Kalaburagi,Kalaburagi.xls,721,,,,,,,,,,,,,,unmatched
Karnataka,Kodagu,Virajpet,62435,BITTANGALA,661869,AMBATTI,924036,AMBATTI,Kodagu,Kodagu.xls,9,,,,,,,,,,,,,,unmatched
