jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village,shrid2,shrug_district,shrug_subdistrict,shrug_village,shrug_place,match_score,match_method
665470,Kodigehalli Harijana Colony,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,612821,Thirumalapura,11-29-572-05542-612868,bangalore,bangalore north,kodagi thirumalapura,kodagi thirumalapura,100.0,fuzzy
703119,KUMBALAGODU,Bengaluru Urban,Bengaluru South,61418,Kumbalagodu,613062,KUMBALAGODU,11-29-572-05543-613027,bangalore,bangalore south,kumbalagodu gollahalli,kumbalagodu gollahalli,100.0,fuzzy
665539,Lakshmipura,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,938467,RAGHAVANAPALYA,11-29-572-05542-612804,bangalore,bangalore north,lakshmipura,lakshmipura,100.0,fuzzy
700202,LINGARAJASAGARA,Bengaluru Urban,YELAHANKA,61388,KASAGATTAPURA,612874,LINGARAJASAGARA,11-29-572-05543-613039,bangalore,bangalore south,agara,agara,100.0,fuzzy
665311,Mahimmannanapalya,Bengaluru Urban,Bengaluru North,273464,Kadabagere,939417,BOGENAHALLI,11-29-572-05542-612886,bangalore,bangalore north,gadenahalli,gadenahalli,90.0,fuzzy
147863,Menaseganahalli,Bengaluru Urban,Anekal,61337,Vanakanahalli,939404,BAHDURPURA,11-29-572-05545-613243,bangalore,anekal,banahalli,banahalli,94.11764705882352,fuzzy
665502,Metipalya,Bengaluru Urban,Bengaluru South,61440,Choolanayakanahalli,938487,VASANTAPURA,11-29-572-05542-612780,bangalore,bangalore north,dasanapura,dasanapura,90.0,fuzzy
665639,Nagegowdanapalya,Bengaluru Urban,Bengaluru South,259828,H. Gollahalli,939480,DASARAHALLI,11-29-572-05545-613235,bangalore,anekal,chikkadasarahalli,chikkadasarahalli,100.0,fuzzy
665392,Parvathaiahana Palya,Bengaluru Urban,Bengaluru North,61377,Sondekoppa,939411,BANGALORE,11-29-572-05542-612762,bangalore,bangalore north,huchana palya,huchana palya,86.95652173913044,fuzzy
665227,Pattareddipalya,Bengaluru Urban,Bengaluru South,61412,Kagglipura,938489,BIKASHIPURA,11-29-572-05542-612765,bangalore,bangalore north,kodipalya,kodipalya,87.5,fuzzy
665380,Pitaganapalya,Bengaluru Urban,Bengaluru North,61377,Sondekoppa,939414,BARAGI MUDDENAHALLI,11-29-572-05542-612936,bangalore,bangalore north,muddanahalli,muddanahalli,91.66666666666666,fuzzy
665199,Puttaiahnapalya,Bengaluru Urban,Bengaluru South,299653,Channenahalli,938417,BERATENA AGRAHARA,11-29-572-05545-613239,bangalore,anekal,nagen agrahara,nagen agrahara,88.0,fuzzy
665211,Pylvanarapalya,Bengaluru Urban,Bengaluru North,61374,Alur,939407,AKKITHIMMANAHALLI,11-29-572-05545-613243,bangalore,anekal,banahalli,banahalli,94.11764705882352,fuzzy
665209,RAJAKSABPALYA,Bengaluru Urban,YELAHANKA,61393,BAGALUR,938541,AMRUTAHALLI,11-29-572-05545-613284,bangalore,anekal,arehalli,arehalli,85.71428571428572,fuzzy
148353,Ramasandra,Bengaluru Urban,Bengaluru South,61420,Sulikere,613064,BASAVANAPURA,11-29-572-05545-613146,bangalore,anekal,ramasandra,ramasandra,100.0,fuzzy
665230,Saalu Hunase,Bengaluru Urban,Bengaluru South,61412,Kagglipura,938430,BILEKAHALLI,11-29-572-05542-612905,bangalore,bangalore north,boilahalli,boilahalli,85.71428571428572,fuzzy
665581,Shikaripalya,Bengaluru Urban,Anekal,61344,Hulimangala,938194,KUDLU,11-29-572-05542-612774,bangalore,bangalore north,kuduragere,kuduragere,88.88888888888889,fuzzy
148479,Subbarayappanapalya,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,938444,VALAGERAHALLI,11-29-572-05543-612961,bangalore,bangalore south,jogerahalli,jogerahalli,90.0,fuzzy
665565,Vaderahalli,Bengaluru Urban,Bengaluru South,61416,Agara,924154,VADEERA HALLI,11-29-572-05542-612772,bangalore,bangalore north,vaderahalli,vaderahalli,100.0,fuzzy
665285,Veerasandra,Bengaluru Urban,Bengaluru South,299654,Nelaguli,938478,CHANNASANDRA,11-29-572-05542-612837,bangalore,bangalore north,channasandra,channasandra,100.0,fuzzy
693388,ALIABAD (J),Bidar,Bidar,60862,Aliabad (j),600256,ALIABAD (J),11-29-558-05455-599913,bidar,bhalki,kadlabad,kadlabad,85.71428571428572,fuzzy
145757,Bompalli,Bidar,Bidar,60864,Yerrnalli,600124,Bompalli,11-29-558-05454-599780,bidar,basavakalyan,halli,halli,88.88888888888889,fuzzy
588457,Hajjargi,Bidar,Bidar,60861,Kolar (k),923711,HAJJARAGI,11-29-558-05455-599918,bidar,bhalki,dadgi,dadgi,75.0,fuzzy
